,name_1,link_1,price_1,seller_1,year_1,body_1,mileage_1,engine_1,BHP_1,transmission_1,fuel_1,owners_1,brand_1,postcode_1
0,Renault Clio,https://www.autotrader.co.uk/car-details/202304246601562,"£1,199",4.3 (12 reviews) leighton buzzard (9 miles),2005,Hatchback,61000,1.1L,75.0,Manual,Petrol,,Renault,MK3 6JS
1,Vauxhall Tigra,https://www.autotrader.co.uk/car-details/202304306843491,"£1,009",3.7 (61 reviews) milton keynes (7 miles),2005,Convertible,76200,1.4L,89.0,Manual,Petrol,8.0,Vauxhall,MK3 6JS
2,Renault Kangoo,https://www.autotrader.co.uk/car-details/202304186404459,"£2,490",4.6 (298 reviews) milton keynes (6 miles),2005,MPV,73000,1.5L,83.0,Manual,Diesel,,Renault,MK3 6JS
3,Volkswagen Polo,https://www.autotrader.co.uk/car-details/202304216517854,"£1,309",3.7 (61 reviews) milton keynes (7 miles),2005,Hatchback,118000,1.2L,55.0,Manual,Petrol,7.0,Volkswagen,MK3 6JS
4,Vauxhall Agila,https://www.autotrader.co.uk/car-details/202304156319609,"£1,049",3.7 (61 reviews) milton keynes (7 miles),2005,MPV,115267,1.2L,79.0,Manual,Petrol,4.0,Vauxhall,MK3 6JS
5,MINI Hatch,https://www.autotrader.co.uk/car-details/202305046991297,"£2,490",4.6 (298 reviews) milton keynes (6 miles),2005,Hatchback,74000,1.6L,,Manual,Petrol,,MINI,MK3 6JS
6,Audi A3,https://www.autotrader.co.uk/car-details/202304296812358,"£1,049",3.7 (61 reviews) milton keynes (7 miles),2005,Hatchback,181200,1.9L,104.0,Manual,Diesel,3.0,Audi,MK3 6JS
7,MINI Convertible,https://www.autotrader.co.uk/car-details/202304146276631,"£2,990",4.6 (298 reviews) milton keynes (6 miles),2005,Convertible,62000,1.6L,,Manual,Petrol,,MINI,MK3 6JS
8,Honda Civic,https://www.autotrader.co.uk/car-details/202303295748800,"£1,709",3.7 (61 reviews) milton keynes (7 miles),2005,Hatchback,138350,1.6L,108.0,Automatic,Petrol,5.0,Honda,MK3 6JS
9,Honda Jazz,https://www.autotrader.co.uk/car-details/202304126219920,"£1,300",4.9 (10 reviews) milton keynes (5 miles),2005,Hatchback,129878,1.4L,82.0,Manual,Petrol,2.0,Honda,MK3 6JS
10,Renault Clio,https://www.autotrader.co.uk/car-details/202302224535097,"£1,990",4.8 (116 reviews) bedford (7 miles),2005,Hatchback,72000,1.2L,75.0,Manual,Petrol,,Renault,MK3 6JS
11,Mazda3,https://www.autotrader.co.uk/car-details/202302053961585,"£2,599",4.7 (34 reviews) milton keynes (4 miles),2005,Hatchback,72000,2.0L,147.0,Manual,Petrol,,Mazda3,MK3 6JS
12,BMW 3 Series,https://www.autotrader.co.uk/car-details/202305036948304,"£2,499",3.8 (34 reviews) leighton buzzard (9 miles),2005,Saloon,89978,2.0L,,Automatic,Diesel,2.0,BMW,MK3 6JS
